"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1.16",9.12238360061268e-05,0.00827948115416194,0.0143019382164097,0.0167512283246723,0.0225472503778479,0.0982321129896775,0.0165480704328089,0.0169543862165356,"C1D1","TV","KH",5,NA,16
"C1D1.17",7.40220842642136e-05,0.00817261991607673,0.0141178328619053,0.0166510483676969,0.0226685765169627,0.0901890644570188,0.0164477039437445,0.0168543927916494,"C1D1","TV","KH",5,NA,17
"C1D1.18",6.48058466378165e-05,0.00744395581732102,0.0128256974935432,0.0149755939537411,0.0201910217099705,0.0927994708772478,0.014793881809171,0.0151573060983112,"C1D1","TV","KH",5,NA,18
"C1D1.19",7.95927099935811e-05,0.00787220914256562,0.013545442039221,0.0159264434042582,0.0217018960863417,0.098300517428582,0.0157320554105207,0.0161208313979958,"C1D1","TV","KH",5,NA,19
"C1D1.20",9.8027607289719e-05,0.00761858306629026,0.0129530410981935,0.0152050672719675,0.0204744400951755,0.0907114732646807,0.0150191676488174,0.0153909668951177,"C1D1","TV","KH",5,NA,20
"C1D1.21",0.000162971935166345,0.00777908692314466,0.0134267993024105,0.0156454430109983,0.0212394120461305,0.0813167603281941,0.0154565909150225,0.015834295106974,"C1D1","TV","KH",5,NA,21
"C1D1.22",8.34446485878937e-05,0.00791551937053089,0.0136918217977342,0.0160763264253899,0.0217902592888418,0.0917045381172533,0.0158786355543187,0.0162740172964611,"C1D1","TV","KH",5,NA,22
"C1D1.23",5.86695618863819e-05,0.00695740224070907,0.0122041091359125,0.0144243226135797,0.0195276343028605,0.0736138611150725,0.0142457258983472,0.0146029193288122,"C1D1","TV","KH",5,NA,23
"C1D1.24",0.000130328027026505,0.00684136157287035,0.0118479195875161,0.0139726161407523,0.0190258576607545,0.0833295702165733,0.0138003382570228,0.0141448940244818,"C1D1","TV","KH",5,NA,24
"C1D1.25",0.000101913841703771,0.00660874064811745,0.0117293935246182,0.0137350988703715,0.018657414496246,0.087469168836102,0.0135648256567171,0.0139053720840258,"C1D1","TV","KH",5,NA,25
"C1D1.26",4.90547458520396e-05,0.00672993836911415,0.0117888422247706,0.0140289449740198,0.0190518692106087,0.0897608391258671,0.0138535116455608,0.0142043783024788,"C1D1","TV","KH",5,NA,26
"C1D1.27",0.000226168430988549,0.00698843544888975,0.0121656025387653,0.0144751103906125,0.0193808332126078,0.0860115642389824,0.0142928296344942,0.0146573911467308,"C1D1","TV","KH",5,NA,27
"C1D1.28",0.000136035150242964,0.00761070742290137,0.013138051141089,0.0154749080382166,0.0208580263986196,0.0862990475530772,0.015283697297832,0.0156661187786013,"C1D1","TV","KH",5,NA,28
"C1D1.29",4.27860274390124e-05,0.00776916967939983,0.0132460329950763,0.0156310048371276,0.0211093684922304,0.0836825939320581,0.0154398388522164,0.0158221708220389,"C1D1","TV","KH",5,NA,29
"C1D1.30",9.53464174884289e-05,0.00828016002681328,0.014459401350656,0.0169439281239816,0.0228542204721908,0.0891812490110246,0.0167345123290662,0.0171533439188969,"C1D1","TV","KH",5,NA,30
"C1D1.31",8.89290119401309e-05,0.00939852417395992,0.0163129216555979,0.019189509909702,0.0259015355732698,0.113493366282053,0.0189534129002339,0.0194256069191701,"C1D1","TV","KH",5,NA,31
"C1D1.32",7.94743740072379e-05,0.0109963279539987,0.0191647058378665,0.0227971914030999,0.0308070136062676,0.127435506528168,0.0225144315608743,0.0230799512453254,"C1D1","TV","KH",5,NA,32
"C1D1.33",6.57577044483881e-05,0.0159893248088435,0.0276414536798504,0.032053643032408,0.0430221739042399,0.206774534974794,0.0316679839084801,0.0324393021563358,"C1D1","TV","KH",5,NA,33
"C1D1.34",0.000236888994073148,0.0205614595159578,0.0355836563393952,0.0418035912292765,0.0565287434047087,0.224093837549209,0.0412894890417768,0.0423176934167762,"C1D1","TV","KH",5,NA,34
"C1D1.35",0.00125042916971219,0.0768236357609124,0.126559835338422,0.140291660422976,0.187014778699959,0.604435181639569,0.13878128918704,0.141802031658911,"C1D1","TV","KH",5,NA,35
"C1F1.1",0.000584361596845384,0.0419603542418722,0.0660016250022834,0.0716776703393174,0.0957538910629806,0.273594638325958,0.0709642230199686,0.0723911176586663,"C1F1","TV","KH",5,NA,1
"C1F1.2",0.0461817100573908,0.173256374904023,0.200542533291067,0.20060222538446,0.227546196810553,0.355775434984534,0.199880597338406,0.201323853430514,"C1F1","TV","KH",5,NA,2
"C1F1.3",0.000159835505114225,0.0120684037598007,0.0198506819772296,0.0220413774129858,0.0295072816264087,0.1127582803092,0.0218045809629553,0.0222781738630163,"C1F1","TV","KH",5,NA,3
"C1F1.4",0.000202077489827479,0.00649030100226047,0.0110502912395145,0.0127766773430169,0.0173727255852696,0.0613713166719029,0.0126274227872572,0.0129259318987765,"C1F1","TV","KH",5,NA,4
"C1F1.5",9.5319954989348e-05,0.00711609166148069,0.0119751485524763,0.0138824356114124,0.0188180238608947,0.0646922515277782,0.0137203040806573,0.0140445671421675,"C1F1","TV","KH",5,NA,5
"C1F1.6",3.42290211877705e-05,0.00688693202647944,0.0121242409259256,0.0138174617484796,0.0188099163139238,0.0622696930204122,0.0136553330909173,0.0139795904060418,"C1F1","TV","KH",5,NA,6
"C1F1.7",0.000138461195882122,0.00713912086044444,0.0119947084176114,0.0137453980232811,0.0186061605953185,0.0639885839754039,0.0135877254739352,0.0139030705726269,"C1F1","TV","KH",5,NA,7
"C1F1.8",0.000111321838521805,0.0075003096315174,0.0125457458313082,0.0145084201503563,0.0196546819735453,0.070449578730763,0.0143409232561489,0.0146759170445637,"C1F1","TV","KH",5,NA,8
"C1F1.9",0.000180948244078549,0.0127202318415286,0.0209079754534655,0.0232160693852309,0.0315740990025992,0.106854994905469,0.0229699098689119,0.02346222890155,"C1F1","TV","KH",5,NA,9
"C1F1.10",0.000435734846006564,0.0191221296865284,0.030430348332277,0.0329398774488681,0.0441097988362402,0.121322284892218,0.0326157846433942,0.033263970254342,"C1F1","TV","KH",5,NA,10
"C1F1.11",4.61965922267105e-05,0.0107400304298149,0.0185176756879614,0.0215008324189986,0.0291230405434,0.103484272167306,0.0212475540430744,0.0217541107949228,"C1F1","TV","KH",5,NA,11
"C1F1.12",6.68081707642099e-05,0.0100646727772122,0.0173245011385771,0.0199803422230909,0.0270557231301322,0.0895424993444512,0.0197456120080458,0.0202150724381361,"C1F1","TV","KH",5,NA,12
"C1F1.13",0.000179067494993745,0.00759945873212756,0.0131508428768987,0.0155998097820668,0.0211581020632638,0.0824697943555942,0.0154091507347441,0.0157904688293894,"C1F1","TV","KH",5,NA,13
"C1F1.14",4.35856876586094e-05,0.00771008083744493,0.0134377454463282,0.0156291437816893,0.0210245816859855,0.104348595263429,0.0154395823242369,0.0158187052391418,"C1F1","TV","KH",5,NA,14
"C1F1.15",6.9140105638299e-05,0.00825720732336588,0.0142926692400848,0.0165491920564381,0.0223297328669141,0.0829624698253699,0.0163513928091009,0.0167469913037752,"C1F1","TV","KH",5,NA,15
"C1F1.16",0.00017388308622257,0.0082349943971497,0.0141947888406682,0.0165846820820114,0.0223355034021699,0.0934334595119667,0.0163852871516478,0.016784077012375,"C1F1","TV","KH",5,NA,16
"C1F1.17",9.70134016378132e-05,0.00842805467725219,0.0144857167339179,0.0167228588301529,0.0225964046276646,0.0890919947823335,0.0165221504026984,0.0169235672576074,"C1F1","TV","KH",5,NA,17
"C1F1.18",0.000193049503274145,0.0072511393078476,0.0127967738603791,0.0149903125253155,0.0204282889918636,0.0777663403120602,0.0148061578023367,0.0151744672482943,"C1F1","TV","KH",5,NA,18
"C1F1.19",0.00011421129466771,0.00789821813212488,0.0136156362237845,0.015874238033068,0.0213586927497078,0.0941438825987488,0.0156819374403203,0.0160665386258157,"C1F1","TV","KH",5,NA,19
