"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D3.1.10",0.000142681172474735,0.0188404506659926,0.0323608856282581,0.0369231516363958,0.0501298003476686,0.162332033499944,0.0364957053227511,0.0373505979500405,"C1D3","TVSS","KH",5,"DENV1",10
"C1D3.2.10",0.000151734707102391,0.0250755538681353,0.0429483017379804,0.0490254252127638,0.0661979469757581,0.262284233700369,0.0484608863905229,0.0495899640350047,"C1D3","TVSS","KH",5,"DENV2",10
"C1D3.3.10",0.000129593277813811,0.00848376127433548,0.0148084781999668,0.0173131096405838,0.0234618951279794,0.104242564440201,0.0171012173059802,0.0175250019751875,"C1D3","TVSS","KH",5,"DENV3",10
"C1D3.4.10",0.000169758534403708,0.00831644300396764,0.0144161970685545,0.0171027247905411,0.0231112578858903,0.0978960817411952,0.0168897168492419,0.0173157327318404,"C1D3","TVSS","KH",5,"DENV4",10
"C1D3.1.11",0.000290252027209892,0.0150809179540639,0.0258504348232836,0.0305119512088512,0.0414610328914415,0.175593228056747,0.0301417751983131,0.0308821272193893,"C1D3","TVSS","KH",5,"DENV1",11
"C1D3.2.11",0.000476803779894119,0.0255794599854493,0.04460748070279,0.0520241608833888,0.0704804699475921,0.290146181740652,0.0513948229010903,0.0526534988656873,"C1D3","TVSS","KH",5,"DENV2",11
"C1D3.3.11",9.59792679654514e-05,0.00737687008211937,0.0128541969035803,0.0151742139982913,0.0206158081891464,0.087236694034858,0.014988528057457,0.0153598999391255,"C1D3","TVSS","KH",5,"DENV3",11
"C1D3.4.11",9.47095876130399e-05,0.00858750607419831,0.0152573491035219,0.0179217155518875,0.0243248706704324,0.0999144376574156,0.0176985370722497,0.0181448940315252,"C1D3","TVSS","KH",5,"DENV4",11
"C1D3.1.12",0.000141245228870268,0.0144406687480375,0.0249111999496894,0.0293204391739453,0.0396753730088213,0.134004205032011,0.0289624222677246,0.029678456080166,"C1D3","TVSS","KH",5,"DENV1",12
"C1D3.2.12",0.000505350972401342,0.0266239824157724,0.045562334690219,0.0530299882652631,0.0721765422811031,0.296992610176911,0.0523958659531305,0.0536641105773957,"C1D3","TVSS","KH",5,"DENV2",12
"C1D3.3.12",4.48952263585323e-05,0.00739130774146374,0.0128372934342907,0.0151320880722164,0.0204378128296949,0.0902547188743463,0.0149430913087273,0.0153210848357054,"C1D3","TVSS","KH",5,"DENV3",12
"C1D3.4.12",5.54176624404379e-05,0.00854966837547017,0.0148635147265085,0.0172984580933469,0.0231999531265299,0.102842876258938,0.0170876663222974,0.0175092498643964,"C1D3","TVSS","KH",5,"DENV4",12
"C1D3.1.13",0.000190399118527917,0.0123230695328203,0.0214932188740221,0.0254748420974986,0.034760751709356,0.154068984323813,0.0251586743909879,0.0257910098040093,"C1D3","TVSS","KH",5,"DENV1",13
"C1D3.2.13",0.000304420288873675,0.0221267895174112,0.0380843693426766,0.0445291342073009,0.0598619459702926,0.227204143618138,0.0439860438948698,0.045072224519732,"C1D3","TVSS","KH",5,"DENV2",13
"C1D3.3.13",0.000118999509031381,0.0066322095245451,0.0117584830453863,0.0140953238283272,0.0191184363844845,0.0768272865251272,0.0139161137923848,0.0142745338642695,"C1D3","TVSS","KH",5,"DENV3",13
"C1D3.4.13",0.000144490525828989,0.00783638408534837,0.0136296256776417,0.0160367273905612,0.0215391756785891,0.0952126271174033,0.0158377595152729,0.0162356952658495,"C1D3","TVSS","KH",5,"DENV4",13
"C1D3.1.14",6.13170239888161e-05,0.0117480458709237,0.0203103607773191,0.0239730974418072,0.0321798685888209,0.14542048408364,0.0236746699225584,0.0242715249610559,"C1D3","TVSS","KH",5,"DENV1",14
"C1D3.2.14",0.000289048911712442,0.0255093654152644,0.0438400815198693,0.0511840445922973,0.0689571837012599,0.254529948650322,0.0505652374201924,0.0518028517644021,"C1D3","TVSS","KH",5,"DENV2",14
"C1D3.3.14",7.10532847437717e-05,0.0065616953649516,0.0117770895977049,0.0141230501008932,0.0190236785562508,0.0764718732042483,0.0139419950722923,0.014304105129494,"C1D3","TVSS","KH",5,"DENV3",14
"C1D3.4.14",7.44422397714883e-05,0.00823676613925908,0.0140698638757518,0.016789954753746,0.0225504031112501,0.123786796329068,0.0165805277916708,0.0169993817158211,"C1D3","TVSS","KH",5,"DENV4",14
"C1D3.1.15",0.000101618362065459,0.0117799402668896,0.0203067104065652,0.0238910275538223,0.0321606538802088,0.156790174511535,0.023595642588576,0.0241864125190687,"C1D3","TVSS","KH",5,"DENV1",15
"C1D3.2.15",0.000294388980236926,0.0285983284836645,0.0502589955267645,0.0586030314567905,0.0796030241198517,0.31787055552759,0.0578867610114036,0.0593193019021774,"C1D3","TVSS","KH",5,"DENV2",15
"C1D3.3.15",0.00013212008345187,0.0071669527490055,0.0122458192573315,0.0144963804958391,0.0194744121165798,0.0838390391033194,0.0143164703634675,0.0146762906282108,"C1D3","TVSS","KH",5,"DENV3",15
"C1D3.4.15",0.000204459746991792,0.00829485783736592,0.0146695489644659,0.0172852377190419,0.023156632315865,0.0971807366551801,0.0170652519855166,0.0175052234525671,"C1D3","TVSS","KH",5,"DENV4",15
"C1D3.1.16",0.000129357605916369,0.00972813012044399,0.0170173218400709,0.0202958301491894,0.0275132908974335,0.148743650859647,0.0200396998081868,0.020551960490192,"C1D3","TVSS","KH",5,"DENV1",16
"C1D3.2.16",0.000628164318830837,0.0386753945141459,0.0674299733103014,0.0778733000351415,0.105544833892259,0.369143243679045,0.0769435891100513,0.0788030109602318,"C1D3","TVSS","KH",5,"DENV2",16
"C1D3.3.16",7.90130117528376e-05,0.00754771286259964,0.0132409113526867,0.0159219642243698,0.0214266733191302,0.0864821178589543,0.0157174816201994,0.0161264468285402,"C1D3","TVSS","KH",5,"DENV3",16
"C1D3.4.16",8.44740545946632e-06,0.00938747376894472,0.0160380001794225,0.0191372423098909,0.0258287617106297,0.12286209487401,0.0188964638994186,0.0193780207203632,"C1D3","TVSS","KH",5,"DENV4",16
"C1D3.1.17",0.000143631599816452,0.00986335127445334,0.0175531446590767,0.0207685895335484,0.0278698635947804,0.131479466090363,0.0205039804449765,0.0210331986221204,"C1D3","TVSS","KH",5,"DENV1",17
"C1D3.2.17",0.000481515820069056,0.0373800268721844,0.064667874621973,0.0747860468085235,0.100682814543446,0.374586609699031,0.0738996762608898,0.0756724173561572,"C1D3","TVSS","KH",5,"DENV2",17
"C1D3.3.17",2.23884708527855e-05,0.00765385367386948,0.0134804645950906,0.0161133718085405,0.0218243732166666,0.105623081338447,0.0159080421959904,0.0163187014210907,"C1D3","TVSS","KH",5,"DENV3",17
