"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D3.4.32",0.000426085612674765,0.024795036076345,0.0429027445529664,0.0507955922977368,0.0682676907108642,0.298119740242202,0.0501675253208222,0.0514236592746514,"C1D3","TVSS","HC",5,"DENV4",32
"C1D3.1.33",0.000378096700675901,0.0277742391520338,0.0484174254494768,0.0584421346986531,0.0785795571864407,0.341149651266198,0.0576871560864539,0.0591971133108523,"C1D3","TVSS","HC",5,"DENV1",33
"C1D3.2.33",0.00133270373080541,0.0630486685215375,0.108107117189388,0.126411653934859,0.170675033546587,0.643206303667462,0.124896091415101,0.127927216454618,"C1D3","TVSS","HC",5,"DENV2",33
"C1D3.3.33",0.00030902523215337,0.0286307214209721,0.050208427886322,0.0589358559088119,0.0793807602805855,0.295662142527737,0.0582049598113683,0.0596667520062556,"C1D3","TVSS","HC",5,"DENV3",33
"C1D3.4.33",0.000812327543845415,0.0390452253803689,0.0674614995183444,0.0794053423474757,0.107076734737392,0.413077831120182,0.0784359087550427,0.0803747759399088,"C1D3","TVSS","HC",5,"DENV4",33
"C1D3.1.34",0.000574236979368647,0.0448621845357793,0.0772067902643438,0.0908567688182816,0.121424619331929,0.507364615612484,0.0897500011555945,0.0919635364809687,"C1D3","TVSS","HC",5,"DENV1",34
"C1D3.2.34",0.00132935027947134,0.0849934849252753,0.144463541969451,0.164719978424886,0.221490104939037,0.797440175221037,0.162828962679595,0.166610994170176,"C1D3","TVSS","HC",5,"DENV2",34
"C1D3.3.34",0.000172175492017979,0.0404893099281028,0.0715349332157115,0.0849131005559273,0.114384575903315,0.525353777037877,0.0838342006621663,0.0859920004496883,"C1D3","TVSS","HC",5,"DENV3",34
"C1D3.4.34",0.000712305009497927,0.0619269374798774,0.105978975351075,0.122842250420558,0.166848293146189,0.749163219634827,0.121375510944157,0.124308989896958,"C1D3","TVSS","HC",5,"DENV4",34
"C1D3.1.35",0.00125006697947661,0.0938807666652452,0.159850142217023,0.180281954355567,0.244873976829074,0.740916326223332,0.178258954057027,0.182304954654106,"C1D3","TVSS","HC",5,"DENV1",35
"C1D3.2.35",0.00241468629458219,0.178422509238341,0.28598740541464,0.305872056970792,0.414982057972386,0.880299615975378,0.302959691244841,0.308784422696743,"C1D3","TVSS","HC",5,"DENV2",35
"C1D3.3.35",0.000183189827051233,0.0828576591638401,0.140402442017832,0.160839645465368,0.21665880111323,0.767117428085366,0.158995082329757,0.162684208600979,"C1D3","TVSS","HC",5,"DENV3",35
"C1D3.4.35",0.000807513346428923,0.0815696389627023,0.13957463820499,0.160461465129261,0.21744108928675,0.711992515254177,0.158605541942259,0.162317388316264,"C1D3","TVSS","HC",5,"DENV4",35
"C1F3.1.1",0.000533619239588279,0.0596836669140518,0.0911713162771259,0.0987252915730486,0.130340902238935,0.398698913648467,0.0977783289723756,0.0996722541737216,"C1F3","TVSS","HC",5,"DENV1",1
"C1F3.2.1",0.000572512111676748,0.0529047081396177,0.0847166748828753,0.0937379802024827,0.125547331845012,0.383393151298756,0.0927715215229562,0.0947044388820093,"C1F3","TVSS","HC",5,"DENV2",1
"C1F3.3.1",0.000272095934127914,0.0174781172034051,0.0304143474010051,0.0360102419024067,0.0483128169721758,0.204477400598487,0.0355604822577155,0.0364600015470979,"C1F3","TVSS","HC",5,"DENV3",1
"C1F3.4.1",0.000200647607739746,0.0185533310824954,0.032313479478191,0.0385908212527113,0.0521526168072786,0.240522340283053,0.0381050174129653,0.0390766250924572,"C1F3","TVSS","HC",5,"DENV4",1
"C1F3.1.2",0.000165781735846804,0.00924991833276201,0.0161770736984061,0.0189549768633027,0.0252092612088313,0.106628854490543,0.0187171487556752,0.0191928049709301,"C1F3","TVSS","HC",5,"DENV1",2
"C1F3.2.2",0.000120853179627178,0.00947492076393525,0.0163444453955945,0.0192414815190642,0.0258002570704364,0.133997529385049,0.0190031358659741,0.0194798271721542,"C1F3","TVSS","HC",5,"DENV2",2
"C1F3.3.2",3.37076812776393e-05,0.00633417480341902,0.0111099742339639,0.0131792435359582,0.0177697773888731,0.0798149292437395,0.0130126934360651,0.0133457936358513,"C1F3","TVSS","HC",5,"DENV3",2
"C1F3.4.2",0.00022506372345743,0.0119354779613394,0.0202157540232407,0.0231990415205481,0.0314317177471171,0.118570653012216,0.022928897236993,0.0234691858041032,"C1F3","TVSS","HC",5,"DENV4",2
"C1F3.1.3",0.000282543949662983,0.00756154384121219,0.0129406058610997,0.015362643162859,0.0209064917223598,0.0770283137853846,0.0151742650081275,0.0155510213175905,"C1F3","TVSS","HC",5,"DENV1",3
"C1F3.2.3",9.3794080358367e-05,0.00900596317524416,0.0154672158663947,0.0181329544354242,0.0245671478853328,0.0902286961464452,0.0179134647425013,0.0183524441283471,"C1F3","TVSS","HC",5,"DENV2",3
"C1F3.3.3",8.20295277559335e-05,0.00514629094809865,0.00902650695011892,0.0106251650933275,0.0143587657412952,0.0647602884702174,0.0104924623215998,0.0107578678650553,"C1F3","TVSS","HC",5,"DENV3",3
"C1F3.4.3",8.07416141986872e-05,0.00800161401740243,0.013829083556801,0.0159839140782625,0.0213979620428841,0.0841669977798337,0.0157926796100357,0.0161751485464893,"C1F3","TVSS","HC",5,"DENV4",3
"C1F3.1.4",0.000108616475140155,0.00672845979707268,0.0117400713414653,0.0137956642669677,0.0186693683624007,0.0769944220881559,0.0136278404215472,0.0139634881123883,"C1F3","TVSS","HC",5,"DENV1",4
"C1F3.2.4",9.39372460906363e-05,0.00785458522507887,0.0132071119947675,0.0154581857486115,0.0208165211294429,0.0938703948557235,0.0152725799273966,0.0156437915698264,"C1F3","TVSS","HC",5,"DENV2",4
"C1F3.3.4",6.58537987284769e-05,0.00422545474560024,0.00732608139652202,0.00875576156431835,0.0118772661368962,0.0542651436234037,0.00864582538460652,0.00886569774403019,"C1F3","TVSS","HC",5,"DENV3",4
"C1F3.4.4",7.94806440550522e-05,0.00583831660861514,0.00992655052127067,0.0116825642827064,0.0157627846321523,0.0623725389609849,0.0115397379976529,0.0118253905677599,"C1F3","TVSS","HC",5,"DENV4",4
"C1F3.1.5",7.35871643163799e-05,0.00620423685181432,0.0107285026543817,0.0125394041582325,0.0169603655208274,0.0665185436522177,0.0123884937436253,0.0126903145728397,"C1F3","TVSS","HC",5,"DENV1",5
"C1F3.2.5",4.4368737264322e-05,0.00556980980464322,0.00956247672368687,0.0113425331135799,0.0153482517705305,0.0691820209200976,0.0112014528132027,0.011483613413957,"C1F3","TVSS","HC",5,"DENV2",5
"C1F3.3.5",3.64088745651303e-05,0.003346953456692,0.00583001176338499,0.00697416614339338,0.00941583014070022,0.0483137521282612,0.00688583349074401,0.00706249879604275,"C1F3","TVSS","HC",5,"DENV3",5
"C1F3.4.5",4.28353971707596e-05,0.00539794326886842,0.00919246235090654,0.0106297394223042,0.0143158285317854,0.0585066051296189,0.0105027924821036,0.0107566863625048,"C1F3","TVSS","HC",5,"DENV4",5
"C1F3.1.6",0.000133782870064492,0.00637251718512005,0.0107738626830036,0.0126163425413616,0.0168916738036943,0.0712175841049791,0.0124632047737263,0.0127694803089968,"C1F3","TVSS","HC",5,"DENV1",6
"C1F3.2.6",6.91824631716687e-05,0.00554063591221121,0.00951363213316547,0.0111851496744417,0.0151021151923779,0.0684371841542353,0.0110484600344871,0.0113218393143964,"C1F3","TVSS","HC",5,"DENV2",6
"C1F3.3.6",1.29414442520126e-05,0.00332114082852128,0.00582360059824616,0.00697551265909833,0.00947843673142654,0.0438380534532998,0.00688722194331201,0.00706380337488465,"C1F3","TVSS","HC",5,"DENV3",6
"C1F3.4.6",5.31269665615675e-05,0.00521611862420718,0.00906114521764845,0.0107305410381441,0.0146877268783202,0.0622345643279476,0.0105986555098847,0.0108624265664035,"C1F3","TVSS","HC",5,"DENV4",6
"C1F3.1.7",4.20470099772308e-05,0.00619360741087041,0.0106915938759444,0.012498499330511,0.016900184617659,0.0915051908545365,0.0123467015758559,0.0126502970851661,"C1F3","TVSS","HC",5,"DENV1",7
"C1F3.2.7",7.59018698895941e-05,0.00564846784583051,0.00976640510930343,0.0115526046144088,0.0157136058499406,0.069450589859977,0.011410415686813,0.0116947935420045,"C1F3","TVSS","HC",5,"DENV2",7
"C1F3.3.7",4.02722848723558e-05,0.00347714507909427,0.00602773389125877,0.00717944612202497,0.00960839680515876,0.0499770690607331,0.00708834532771156,0.00727054691633838,"C1F3","TVSS","HC",5,"DENV3",7
"C1F3.4.7",1.81348142128668e-05,0.00569612692734836,0.00981343906972204,0.0114476792505534,0.0153765117810521,0.0558928570932514,0.0113081691933486,0.0115871893077582,"C1F3","TVSS","HC",5,"DENV4",7
"C1F3.1.8",9.779456844905e-05,0.0081776542410317,0.0140682894509931,0.0164175334351569,0.0222409559330009,0.097268685693276,0.0162188158178178,0.0166162510524959,"C1F3","TVSS","HC",5,"DENV1",8
"C1F3.2.8",3.85312233794899e-05,0.0081582118673737,0.0140917510479022,0.0166585370554857,0.0227023955546464,0.118688465730253,0.0164534184924502,0.0168636556185213,"C1F3","TVSS","HC",5,"DENV2",8
"C1F3.3.8",4.33848830477812e-05,0.00428132747275647,0.00754099096592542,0.00892444866224852,0.0119619513151752,0.055412517913306,0.0088117975083499,0.00903709981614715,"C1F3","TVSS","HC",5,"DENV3",8
"C1F3.4.8",6.46593082854752e-05,0.00607740796870102,0.0105263704758985,0.0125494116734207,0.0170108222127524,0.0676698805678001,0.0123928654445064,0.012705957902335,"C1F3","TVSS","HC",5,"DENV4",8
"C1F3.1.9",0.000134788594897017,0.00879553070916356,0.0150526145778063,0.0174046707962812,0.0235417260995431,0.081980540313381,0.017199145471863,0.0176101961206995,"C1F3","TVSS","HC",5,"DENV1",9
"C1F3.2.9",7.06938120798029e-06,0.00777713181451362,0.0134029705146231,0.0159426844068445,0.0216320211388642,0.0848579838665913,0.0157453444582992,0.0161400243553899,"C1F3","TVSS","HC",5,"DENV2",9
"C1F3.3.9",4.37981279902688e-05,0.00458683015819158,0.00790688229443159,0.00929295066372686,0.0124903814185832,0.050552703976214,0.00917814599443821,0.00940775533301551,"C1F3","TVSS","HC",5,"DENV3",9
"C1F3.4.9",0.000144292786733891,0.0064380258536999,0.0110171769895134,0.0130619132858233,0.0176259859136839,0.0740625801127743,0.0129006804342503,0.0132231461373963,"C1F3","TVSS","HC",5,"DENV4",9
"C1F3.1.10",0.000256091485637211,0.00931863830888721,0.0159859425783056,0.0186411562406298,0.0250350729483811,0.0882488979419639,0.0184153098089506,0.0188670026723089,"C1F3","TVSS","HC",5,"DENV1",10
"C1F3.2.10",0.000179354597993009,0.00824800287942004,0.0144203526954153,0.0167956208424959,0.0227163217486094,0.0809878565911855,0.0165906491069808,0.0170005925780109,"C1F3","TVSS","HC",5,"DENV2",10
"C1F3.3.10",6.03212401671938e-05,0.00487214546522277,0.00858816668478463,0.0101492441987552,0.0135369965187732,0.0529687353608151,0.010020895802598,0.0102775925949125,"C1F3","TVSS","HC",5,"DENV3",10
"C1F3.4.10",7.14137105070067e-05,0.00727542552921101,0.0125829346572109,0.0148239701491481,0.0198894686695996,0.0924285345227412,0.0146420654557193,0.0150058748425769,"C1F3","TVSS","HC",5,"DENV4",10
"C1F3.1.11",0.000107148817523384,0.010506273134371,0.018052284593795,0.0211136671918328,0.0287172893093993,0.112875716322255,0.0208589149979832,0.0213684193856824,"C1F3","TVSS","HC",5,"DENV1",11
"C1F3.2.11",0.000222728175065523,0.0105068772514648,0.0178280677624246,0.020889031634836,0.0283286145931998,0.13188216001747,0.0206345938979125,0.0211434693717594,"C1F3","TVSS","HC",5,"DENV2",11
"C1F3.3.11",8.78631791410012e-05,0.00561887910344416,0.00971151374653262,0.0114171019088094,0.0155277641584148,0.0631465841832767,0.0112779282481017,0.0115562755695171,"C1F3","TVSS","HC",5,"DENV3",11
"C1F3.4.11",7.66845079448464e-05,0.00782885830294006,0.0136645844478901,0.0158718706769008,0.0213943752049085,0.0806319695615386,0.0156803473974026,0.016063393956399,"C1F3","TVSS","HC",5,"DENV4",11
"C1F3.1.12",0.000113612984999789,0.0114254079273464,0.0201991155520149,0.0236414799615333,0.0321260417170926,0.136038877304426,0.0233518150794303,0.0239311448436363,"C1F3","TVSS","HC",5,"DENV1",12
"C1F3.2.12",0.0002905942421082,0.0118328665406783,0.0200021166245292,0.0235046941396721,0.0316116936726126,0.12170288574688,0.0232206943749069,0.0237886939044373,"C1F3","TVSS","HC",5,"DENV2",12
"C1F3.3.12",7.24622449677081e-05,0.00626515628635416,0.0109337398207429,0.0129242913370155,0.0173406301318764,0.0791994761722067,0.012762870532305,0.0130857121417261,"C1F3","TVSS","HC",5,"DENV3",12
"C1F3.4.12",0.000156788105815098,0.00945042752961392,0.0161232701593688,0.0189098065736872,0.0255169777940071,0.0936203164556981,0.0186814244287503,0.019138188718624,"C1F3","TVSS","HC",5,"DENV4",12
"C1F3.1.13",0.000126574988161487,0.0121700818699307,0.021060907834512,0.0247969798427208,0.0336973376191981,0.118630958387419,0.0244957670754889,0.0250981926099526,"C1F3","TVSS","HC",5,"DENV1",13
"C1F3.2.13",0.00024187800490072,0.0129613636857088,0.0224521995646793,0.0264785832568789,0.0359688934786965,0.146519119940352,0.0261530481454178,0.0268041183683401,"C1F3","TVSS","HC",5,"DENV2",13
"C1F3.3.13",2.6520872947744e-06,0.00714834566267369,0.0122530408683612,0.0143811609129046,0.0192879037732104,0.128020975274681,0.0142068059721069,0.0145555158537023,"C1F3","TVSS","HC",5,"DENV3",13
"C1F3.4.13",0.000107249729458192,0.00841212092740112,0.0144226116264163,0.0170954695261064,0.0229992845366671,0.10071000133036,0.0168845389909367,0.0173064000612762,"C1F3","TVSS","HC",5,"DENV4",13
"C1F3.1.14",0.000271726896305058,0.0136720128181281,0.0240747434472593,0.0277694153135083,0.0376588977018311,0.146244501663752,0.0274381308421045,0.0281006997849122,"C1F3","TVSS","HC",5,"DENV1",14
"C1F3.2.14",1.61359468803246e-05,0.0123324537994672,0.0219742192402093,0.0259070289212703,0.0351933126788976,0.198242968472279,0.0255845475642444,0.0262295102782961,"C1F3","TVSS","HC",5,"DENV2",14
"C1F3.3.14",4.77734588167911e-05,0.0073203583943581,0.0125861417280059,0.0147950488933663,0.0199037684660723,0.0799457604620012,0.014614228046469,0.0149758697402635,"C1F3","TVSS","HC",5,"DENV3",14
"C1F3.4.14",6.9944644834341e-05,0.00914793774480849,0.0158733063001358,0.0185428330262479,0.025069329199206,0.103653595567212,0.0183161346503478,0.018769531402148,"C1F3","TVSS","HC",5,"DENV4",14
"C1F3.1.15",0.000207822867775431,0.0119146839133645,0.0207729365441766,0.0245297876151008,0.0333464322153784,0.133380732162958,0.0242296352536288,0.0248299399765728,"C1F3","TVSS","HC",5,"DENV1",15
"C1F3.2.15",0.000259317989558694,0.0137522344132829,0.0240958293891348,0.028416859718372,0.0384479038205361,0.171015831906548,0.0280634283689351,0.0287702910678088,"C1F3","TVSS","HC",5,"DENV2",15
"C1F3.3.15",0.000120806395787709,0.00762771910993415,0.0133810461550346,0.0157017648340268,0.0211113151437139,0.092579016685909,0.0155062309184945,0.0158972987495591,"C1F3","TVSS","HC",5,"DENV3",15
"C1F3.4.15",0.000135043764854292,0.00954220379258205,0.0165731275782572,0.0196584238851717,0.0268161645150323,0.121718069860354,0.019414540537854,0.0199023072324893,"C1F3","TVSS","HC",5,"DENV4",15
"C1F3.1.16",7.62725572547307e-05,0.0106124090433208,0.0181781327253122,0.0214340141554636,0.0289735679218087,0.146003956121181,0.0211723000576327,0.0216957282532945,"C1F3","TVSS","HC",5,"DENV1",16
"C1F3.2.16",7.38665261211802e-05,0.0171854115246701,0.0301553887480216,0.0350437311163641,0.0470814106111843,0.220049442210529,0.0346162105249758,0.0354712517077523,"C1F3","TVSS","HC",5,"DENV2",16
"C1F3.3.16",0.000139919374801956,0.00842135641233313,0.0148339909022946,0.0173381967029261,0.0233483680475616,0.0857960494361022,0.0171256992754744,0.0175506941303778,"C1F3","TVSS","HC",5,"DENV3",16
"C1F3.4.16",9.64327647353658e-05,0.0101135651755834,0.0178051819257506,0.0209193188693246,0.0281064692521856,0.126643234060578,0.0206600353606296,0.0211786023780197,"C1F3","TVSS","HC",5,"DENV4",16
"C1F3.1.17",0.000108501965556673,0.00980156208904026,0.0167409209777089,0.0198459321659826,0.0268669500370718,0.124739991037598,0.0196022301570936,0.0200896341748716,"C1F3","TVSS","HC",5,"DENV1",17
"C1F3.2.17",0.000127098181965213,0.0172553579508613,0.0296812453988528,0.0348640957972004,0.0472013645297454,0.19255847884885,0.0344375888052157,0.0352906027891851,"C1F3","TVSS","HC",5,"DENV2",17
"C1F3.3.17",0.000209763645461547,0.00882150963375683,0.0156438812125402,0.0184557988547016,0.024953396705107,0.0966859344180255,0.0182259972775421,0.0186856004318612,"C1F3","TVSS","HC",5,"DENV3",17
"C1F3.4.17",9.77915366431326e-05,0.0118146026243845,0.0200989184865398,0.0236056807116176,0.0318393362623297,0.132816621476271,0.0233207413687789,0.0238906200544563,"C1F3","TVSS","HC",5,"DENV4",17
"C1F3.1.18",0.000261980977451781,0.0103011817054755,0.0179297730469011,0.0209823047738728,0.028403245037332,0.0999977335921622,0.020726281453875,0.0212383280938705,"C1F3","TVSS","HC",5,"DENV1",18
"C1F3.2.18",0.000334017298123213,0.0206012333991779,0.035660344492559,0.0418850313235098,0.0568971678773988,0.238667624067833,0.0413780599473001,0.0423920026997196,"C1F3","TVSS","HC",5,"DENV2",18
"C1F3.3.18",0.000157705504739591,0.00930685477932308,0.0162005843157942,0.0191868483909875,0.0259093438179677,0.122058000019487,0.0189500046511554,0.0194236921308196,"C1F3","TVSS","HC",5,"DENV3",18
"C1F3.4.18",0.000179926276729359,0.0110015792235929,0.0193813627935097,0.0229704040526367,0.0312001444737269,0.154302441068369,0.0226854130484611,0.0232553950568124,"C1F3","TVSS","HC",5,"DENV4",18
"C1F3.1.19",0.000112977372979106,0.00988540754030501,0.0172304819173654,0.0204750514779556,0.0277413305485572,0.116316102423788,0.0202200037828863,0.0207300991730249,"C1F3","TVSS","HC",5,"DENV1",19
"C1F3.2.19",0.00024978964825495,0.0230444053938387,0.0397603356499046,0.0459113786057331,0.0620886782570483,0.257117870593443,0.0453659035641852,0.046456853647281,"C1F3","TVSS","HC",5,"DENV2",19
"C1F3.3.19",0.000265389304499708,0.00939232184839092,0.0164045258885821,0.0195260290703359,0.0265390528077248,0.11180782198472,0.0192814223117941,0.0197706358288776,"C1F3","TVSS","HC",5,"DENV3",19
"C1F3.4.19",0.000203573883206798,0.0123410542458054,0.0212359614828089,0.0248991475800926,0.033485659186088,0.178420053442504,0.0245962931820267,0.0252020019781584,"C1F3","TVSS","HC",5,"DENV4",19
"C1F3.1.20",8.63989211141725e-06,0.00960624361144366,0.0167223848130576,0.0195895938258647,0.0265001969893388,0.135514080507639,0.0193491794579285,0.0198300081938009,"C1F3","TVSS","HC",5,"DENV1",20
"C1F3.2.20",0.000293183114244977,0.0226618893495557,0.0401845953995975,0.0468601507034233,0.0633425530977642,0.278351994718952,0.0462871069015479,0.0474331945052986,"C1F3","TVSS","HC",5,"DENV2",20
"C1F3.3.20",0.000100119755781169,0.00896522933502794,0.0153168054825752,0.0180014112565374,0.0240160860166403,0.0998157848672969,0.0177820450129299,0.018220777500145,"C1F3","TVSS","HC",5,"DENV3",20
"C1F3.4.20",8.38920582456604e-05,0.0128900576167293,0.0220949930555371,0.0260913335329363,0.0354817215336666,0.159401619657231,0.0257711227473262,0.0264115443185465,"C1F3","TVSS","HC",5,"DENV4",20
"C1F3.1.21",4.93036185386098e-05,0.00974574631073638,0.017233209814306,0.0204708677690707,0.0277524727384766,0.120196688795132,0.0202149972960864,0.0207267382420549,"C1F3","TVSS","HC",5,"DENV1",21
"C1F3.2.21",0.000311752378996499,0.026998434817552,0.0467659357577586,0.054355721637132,0.0737762709217016,0.308621021318013,0.0537036800452564,0.0550077632290075,"C1F3","TVSS","HC",5,"DENV2",21
"C1F3.3.21",0.000256193198976518,0.00999922132873807,0.0172630245197585,0.0203531951335118,0.0271720971282814,0.146227818275347,0.0200993774178382,0.0206070128491855,"C1F3","TVSS","HC",5,"DENV3",21
"C1F3.4.21",6.27054660384818e-06,0.0124428077520998,0.0210385277868089,0.0248894411950325,0.033112471854085,0.253848858325297,0.0245792115580503,0.0251996708320147,"C1F3","TVSS","HC",5,"DENV4",21
"C1F3.1.22",7.11660222924015e-05,0.00976180563130488,0.0174087802340067,0.0205502808345945,0.0277902497279177,0.139951074884379,0.020291705768481,0.020808855900708,"C1F3","TVSS","HC",5,"DENV1",22
"C1F3.2.22",0.000471097818115496,0.0285708808888018,0.0491725611249593,0.0567370003418607,0.0767355155863743,0.308444780582355,0.0560607051080742,0.0574132955756472,"C1F3","TVSS","HC",5,"DENV2",22
"C1F3.3.22",9.00231312176425e-05,0.0100398154912843,0.0175222385098364,0.0207187002937343,0.027927819657111,0.136310125923686,0.020460891738796,0.0209765088486725,"C1F3","TVSS","HC",5,"DENV3",22
"C1F3.4.22",0.000109059965712643,0.0128370902570693,0.0222916958733749,0.0261361995276403,0.0353622020787497,0.150778151457675,0.0258160725301231,0.0264563265251574,"C1F3","TVSS","HC",5,"DENV4",22
"C1F3.1.23",9.1375541427019e-05,0.00984338434479637,0.0171714263777581,0.0204618092985076,0.0276693414313098,0.115988840253146,0.0202057225960328,0.0207178960009824,"C1F3","TVSS","HC",5,"DENV1",23
"C1F3.2.23",0.000474110694912988,0.0274643381602535,0.0465120165665607,0.05456929193318,0.0736643647276084,0.313566648730709,0.0539126917646876,0.0552258921016724,"C1F3","TVSS","HC",5,"DENV2",23
"C1F3.3.23",0.000280079327732774,0.0104216035157785,0.0182677207168467,0.0213051980405194,0.0284440898711777,0.118793718637482,0.0210413281527017,0.0215690679283371,"C1F3","TVSS","HC",5,"DENV3",23
"C1F3.4.23",0.000193952371842832,0.0125409140472609,0.0219371502635735,0.0259863804847906,0.0353235864301389,0.142274158647832,0.0256630541455359,0.0263097068240453,"C1F3","TVSS","HC",5,"DENV4",23
"C1F3.1.24",0.000176673749040623,0.00911782653418902,0.0162395520148548,0.0193316598806242,0.0262665988930263,0.157456713795536,0.0190855607495408,0.0195777590117076,"C1F3","TVSS","HC",5,"DENV1",24
"C1F3.2.24",0.000352535536572773,0.0312290120447302,0.054004117331122,0.0617935119157035,0.083644068520241,0.357703455676102,0.061065891609553,0.062521132221854,"C1F3","TVSS","HC",5,"DENV2",24
"C1F3.3.24",0.000207833406318914,0.0108761731600015,0.0188480989697525,0.0222870920011787,0.0298966599107088,0.118546573675136,0.022010981477848,0.0225632025245093,"C1F3","TVSS","HC",5,"DENV3",24
"C1F3.4.24",0.000335547863944519,0.0129036356881635,0.0220361681105533,0.0260212214088094,0.0350502098433323,0.14797647701601,0.0256998009304296,0.0263426418871892,"C1F3","TVSS","HC",5,"DENV4",24
